               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096036,            0.033834,                   0,             0.56818,             0.69581,             0.66455,             0.25978,            0.075967,            0.020785,                   0,            0.070028,           0.0033302,           0.0033302
                   1,            0.071545,            0.026507,                   0,             0.79048,             0.79736,             0.89095,             0.44853,            0.059745,            0.017406,                   0,            0.039698,           0.0063337,           0.0063337
                   2,            0.061207,            0.023416,                   0,             0.96523,             0.94915,             0.97935,             0.49803,            0.056555,            0.014756,                   0,           0.0090386,           0.0090072,           0.0090072
                   3,            0.054347,            0.021419,                   0,             0.96293,             0.94802,             0.97675,             0.61516,            0.049682,            0.013889,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.049893,            0.019677,                   0,             0.96768,              0.9699,             0.98078,             0.64905,            0.045254,            0.013247,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.045909,            0.018862,                   0,             0.97731,              0.9646,             0.98179,             0.66563,            0.044642,             0.01262,                   0,             0.00802,             0.00802,             0.00802
                   6,             0.04491,            0.018119,                   0,             0.97717,             0.96911,             0.98534,             0.67286,             0.04244,            0.012483,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.043599,            0.017829,                   0,              0.9713,             0.96886,             0.98292,             0.67647,            0.041677,            0.012401,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.042267,            0.017609,                   0,             0.97589,             0.96497,             0.98324,             0.68597,            0.039602,            0.011958,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.041239,            0.017313,                   0,             0.97685,             0.96949,              0.9841,             0.69287,            0.039437,            0.011896,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.040193,             0.01722,                   0,             0.97469,             0.96987,             0.98408,             0.68953,            0.039554,            0.011824,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.039999,            0.017043,                   0,             0.97754,             0.96729,             0.98376,             0.70036,            0.038089,            0.011587,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.039385,            0.016846,                   0,             0.97644,             0.96573,             0.98326,             0.69756,            0.038907,             0.01176,                   0,            0.004555,            0.004555,            0.004555
                  13,             0.03861,            0.016654,                   0,             0.97421,              0.9661,             0.98327,             0.70928,            0.038193,            0.011474,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.037918,             0.01646,                   0,             0.97908,             0.96972,             0.98468,             0.70922,            0.037404,            0.011398,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.037742,            0.016252,                   0,             0.97782,             0.97024,             0.98473,             0.71689,            0.036583,             0.01128,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.037689,            0.016493,                   0,             0.97321,             0.97137,             0.98357,             0.71326,            0.036781,            0.011312,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.037159,            0.016038,                   0,             0.97663,             0.96949,             0.98479,             0.72774,            0.036381,            0.011193,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.036872,             0.01587,                   0,             0.97478,             0.96949,             0.98447,             0.72172,            0.036426,            0.011054,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.036611,            0.015859,                   0,             0.97434,             0.97249,             0.98503,             0.73411,            0.035562,            0.010926,                   0,             0.00109,             0.00109,             0.00109
